,patch1,patch2,dS,dL
345,Juvenile.06,Adult.04,2.333341157,4.3607708
346,Juvenile.06,Adult.05,2.645470612,4.9914875
347,Juvenile.06,Adult.06,1.939369373,5.7365133
348,Juvenile.06,Adult.07,1.893629894,1.7831612
349,Juvenile.06,Adult.8,2.226323439,5.9287182
350,Juvenile.06,Adult.9,2.88070494,3.2134564
351,Juvenile.06,Adult.10,3.143521046,7.6495548
352,Juvenile.06,Adult.11,3.082590217,2.2533488
353,Juvenile.06,Adult.12,3.024572719,4.1109288
354,Juvenile.06,Adult.13,3.038964949,2.2188288
355,Juvenile.06,Adult.14,1.858997165,0.9633171
356,Juvenile.06,Adult.15,2.256862034,2.1455919
357,Juvenile.06,Adult.16,2.882464249,7.0290301
358,Juvenile.06,Adult.17,2.977604178,0.7576623
359,Juvenile.06,Background.1,1.969842475,3.8576022
360,Juvenile.06,Background.2,0.372459418,4.4978244
361,Juvenile.06,Background.3,1.032483329,1.8035155
362,Juvenile.06,Background.4,0.110709979,3.035112
363,Juvenile.06,Background.5,0.722522,7.8993983
364,Juvenile.06,Background.7,1.270157787,4.878764
365,Juvenile.06,Background.8,0.352425771,4.2057181
366,Juvenile.06,Background.9,0.399989442,7.632856
367,Juvenile.06,Background.10,0.150365116,5.136808
368,Juvenile.06,Background.11,1.330542537,5.695028
369,Juvenile.06,Background.12,1.612885455,0.4905535
370,Juvenile.06,Background.13,1.080586396,2.488814
371,Juvenile.06,Background.14,5.39308873,3.1568347
372,Juvenile.06,Background.15,1.189990061,7.8191666
373,Juvenile.06,Background.16,0.981366039,4.7037178
374,Juvenile.06,Background.17,1.104790212,1.6843131
375,Juvenile.06,Background.18,3.726770503,8.2340147
376,Juvenile.06,Background.19,2.608246896,0.7841101
377,Juvenile.06,Background.21,0.691582893,2.652937
378,Juvenile.06,Background.22,1.268551433,6.0457223
379,Juvenile.06,Background.24,1.541541696,2.9053327
380,Juvenile.06,Background.25,0.325911914,2.8089868
381,Juvenile.06,Background.26,0.554895573,6.0075787
382,Juvenile.06,Background.27,2.272960033,4.3528805
383,Juvenile.06,Background.28,3.327831347,4.0578554
384,Juvenile.06,Background.29,1.114343442,3.1688449
385,Juvenile.06,Background.30,4.727159482,5.0353278
386,Juvenile.06,Background.31,0.485358133,4.4730412
387,Juvenile.06,Background.32,0.337530465,5.7795127
388,Juvenile.06,Background.33,2.929455598,4.5814923
394,Juvenile.07,Juvenile.08,0.95671566,2.3247378
395,Juvenile.07,Juvenile.09,0.469960058,2.2937939
396,Juvenile.07,Juvenile.10,0.984298904,1.2531582
397,Juvenile.07,Juvenile.11,0.209184923,0.7511759
398,Juvenile.07,Juvenile.12,2.56919011,2.3421427
399,Juvenile.07,Juvenile.13,0.865276512,7.1089239
400,Juvenile.07,Juvenile.14,0.560317596,5.9282392
401,Juvenile.07,Juvenile.15,2.004036864,0.102199
402,Juvenile.07,Juvenile.16,1.459952491,3.6929164
403,Juvenile.07,Juvenile.17,0.222944025,12.0364226
404,Juvenile.07,Adult.01,1.575659265,6.0893371
405,Juvenile.07,Adult.02,2.264994051,6.923331
406,Juvenile.07,Adult.03,0.86459428,1.7626803
407,Juvenile.07,Adult.04,1.785487558,5.689789
408,Juvenile.07,Adult.05,2.09525361,6.3205056
409,Juvenile.07,Adult.06,1.406828178,7.0655314
410,Juvenile.07,Adult.07,1.356820625,3.1121794
411,Juvenile.07,Adult.8,1.675908685,7.2577364
412,Juvenile.07,Adult.9,2.325500008,4.5424745
413,Juvenile.07,Adult.10,2.593686459,8.9785729
414,Juvenile.07,Adult.11,2.526467772,3.5823669
415,Juvenile.07,Adult.12,2.47015878,5.4399469
416,Juvenile.07,Adult.13,2.483834857,3.547847
417,Juvenile.07,Adult.14,1.318335651,2.2923352
418,Juvenile.07,Adult.15,1.702487402,3.47461
419,Juvenile.07,Adult.16,2.327571456,8.3580482
420,Juvenile.07,Adult.17,2.420572994,2.0866805
421,Juvenile.07,Background.1,2.529090011,2.5285841
422,Juvenile.07,Background.2,0.928270419,3.1688063
423,Juvenile.07,Background.3,0.52252299,0.4744974
424,Juvenile.07,Background.4,0.650143013,1.7060939
425,Juvenile.07,Background.5,1.268018686,6.5703802
426,Juvenile.07,Background.7,0.72609003,3.5497458
427,Juvenile.07,Background.8,0.920902496,2.8767
428,Juvenile.07,Background.9,0.218581856,6.3038379
429,Juvenile.07,Background.10,0.518163546,3.8077899
430,Juvenile.07,Background.11,0.78098134,4.3660099
431,Juvenile.07,Background.12,1.066536521,1.8195716
432,Juvenile.07,Background.13,0.572923275,1.1597958
433,Juvenile.07,Background.14,5.948108617,1.8278166
434,Juvenile.07,Background.15,0.656509802,6.4901484
435,Juvenile.07,Background.16,1.519625384,3.3746997
436,Juvenile.07,Background.17,1.656180988,3.0133312
437,Juvenile.07,Background.18,4.286060549,6.9049965
438,Juvenile.07,Background.19,3.176367883,0.544908
439,Juvenile.07,Background.21,0.244861502,1.3239189
440,Juvenile.07,Background.22,1.837222982,4.7167042
441,Juvenile.07,Background.24,2.109456473,1.5763146
442,Juvenile.07,Background.25,0.870306641,1.4799686
443,Juvenile.07,Background.26,1.103328994,4.6785606
444,Juvenile.07,Background.27,1.720568632,3.0238624
445,Juvenile.07,Background.28,3.873381504,2.7288373
446,Juvenile.07,Background.29,0.56175412,1.8398268
447,Juvenile.07,Background.30,5.276103622,3.7063097
448,Juvenile.07,Background.31,0.34263832,3.144023
449,Juvenile.07,Background.32,0.848550344,4.4504945
450,Juvenile.07,Background.33,3.482900328,3.2524742
456,Juvenile.08,Juvenile.09,1.408080267,0.0309439
457,Juvenile.08,Juvenile.10,0.188746237,1.0715796
458,Juvenile.08,Juvenile.11,0.747608839,1.5735619
459,Juvenile.08,Juvenile.12,1.614787265,0.0174049
460,Juvenile.08,Juvenile.13,0.112295788,4.7841861
461,Juvenile.08,Juvenile.14,0.422747575,3.6035014
462,Juvenile.08,Juvenile.15,1.047343526,2.2225388
463,Juvenile.08,Juvenile.16,0.503238232,1.3681785
464,Juvenile.08,Juvenile.17,0.767400096,9.7116848
465,Juvenile.08,Adult.01,2.531436621,3.7645992
466,Juvenile.08,Adult.02,3.219664853,4.5985932
467,Juvenile.08,Adult.03,0.255994949,0.5620575
468,Juvenile.08,Adult.04,2.740327168,3.3650511
469,Juvenile.08,Adult.05,3.051007875,3.9957678
470,Juvenile.08,Adult.06,2.353277717,4.7407936
471,Juvenile.08,Adult.07,2.30579997,0.7874415
472,Juvenile.08,Adult.8,2.631525834,4.9329985
473,Juvenile.08,Adult.9,3.282185286,2.2177367
474,Juvenile.08,Adult.10,3.549489897,6.6538351
475,Juvenile.08,Adult.11,3.483183205,1.2576291
476,Juvenile.08,Adult.12,3.426795984,3.1152091
477,Juvenile.08,Adult.13,3.440524863,1.2231091
478,Juvenile.08,Adult.14,2.269412299,0.0324026
479,Juvenile.08,Adult.15,2.659001082,1.1498722
480,Juvenile.08,Adult.16,3.284236211,6.0333104
481,Juvenile.08,Adult.17,3.377263786,0.2380574
482,Juvenile.08,Background.1,1.576465876,4.8533219
483,Juvenile.08,Background.2,0.098435005,5.4935441
484,Juvenile.08,Background.3,1.448721829,2.7992352
485,Juvenile.08,Background.4,0.415310192,4.0308317
486,Juvenile.08,Background.5,0.312044211,8.895118
487,Juvenile.08,Background.7,1.677536027,5.8744837
488,Juvenile.08,Background.8,0.20640289,5.2014378
489,Juvenile.08,Background.9,0.817660649,8.6285757
490,Juvenile.08,Background.10,0.438991335,6.1325277
491,Juvenile.08,Background.11,1.73520753,6.6907477
492,Juvenile.08,Background.12,2.019984446,0.5051662
493,Juvenile.08,Background.13,1.49770355,3.4845337
494,Juvenile.08,Background.14,4.99174234,4.1525544
495,Juvenile.08,Background.15,1.60125802,8.8148863
496,Juvenile.08,Background.16,0.563908232,5.6994375
497,Juvenile.08,Background.17,0.700681029,0.6885934
498,Juvenile.08,Background.18,3.331877706,9.2297344
499,Juvenile.08,Background.19,2.245024077,1.7798298
500,Juvenile.08,Background.21,1.110244561,3.6486567
501,Juvenile.08,Background.22,0.935808461,7.041442
502,Juvenile.08,Background.24,1.183584888,3.9010524
503,Juvenile.08,Background.25,0.380968259,3.8047065
504,Juvenile.08,Background.26,0.154025445,7.0032984
505,Juvenile.08,Background.27,2.676722254,5.3486002
506,Juvenile.08,Background.28,2.917274343,5.0535751
507,Juvenile.08,Background.29,1.516550267,4.1645646
508,Juvenile.08,Background.30,4.319538333,6.0310475
509,Juvenile.08,Background.31,0.908804422,5.4687609
510,Juvenile.08,Background.32,0.464038281,6.7752324
511,Juvenile.08,Background.33,2.526483975,5.577212
517,Juvenile.09,Juvenile.10,1.450616348,1.0406357
518,Juvenile.09,Juvenile.11,0.669369899,1.542618
519,Juvenile.09,Juvenile.12,3.022631014,0.0483488
520,Juvenile.09,Juvenile.13,1.30903484,4.81513
521,Juvenile.09,Juvenile.14,0.992546192,3.6344453
522,Juvenile.09,Juvenile.15,2.452214878,2.1915949
523,Juvenile.09,Juvenile.16,1.909079877,1.3991224
524,Juvenile.09,Juvenile.17,0.641194065,9.7426287
525,Juvenile.09,Adult.01,1.13293696,3.7955431
526,Juvenile.09,Adult.02,1.815787786,4.6295371
527,Juvenile.09,Adult.03,1.278923692,0.5311136
528,Juvenile.09,Adult.04,1.337852266,3.3959951
529,Juvenile.09,Adult.05,1.650396125,4.0267117
530,Juvenile.09,Adult.06,0.945197597,4.7717375
531,Juvenile.09,Adult.07,0.898147355,0.8183854
532,Juvenile.09,Adult.8,1.231839011,4.9639425
533,Juvenile.09,Adult.9,1.887927632,2.2486806
534,Juvenile.09,Adult.10,2.148049053,6.684779
535,Juvenile.09,Adult.11,2.090233874,1.288573
536,Juvenile.09,Adult.12,2.03109116,3.146153
537,Juvenile.09,Adult.13,2.045932721,1.2540531
538,Juvenile.09,Adult.14,0.863015936,0.0014587
539,Juvenile.09,Adult.15,1.264738289,1.1808161
540,Juvenile.09,Adult.16,1.889464686,6.0642543
